date,stock_price
2017-10-02,28.87
2017-10-03,28.75
2017-10-04,28.69
2017-10-05,28.79
2017-10-06,28.53
2017-10-09,28.58
2017-10-10,28.49
2017-10-11,28.28
2017-10-12,28.38
2017-10-13,29.04
2017-10-16,29.12
2017-10-17,28.67
2017-10-18,28.92
2017-10-19,28.99
2017-10-20,29.50
2017-10-23,33.22
2017-10-24,32.79
2017-10-25,32.21
2017-10-26,32.23
2017-10-27,31.15
2017-10-30,30.97
2017-10-31,31.21
2017-11-01,31.20
2017-11-02,31.04
2017-11-03,30.67
2017-11-06,31.62
2017-11-07,31.34
2017-11-08,31.84
2017-11-09,31.58
2017-11-10,32.07
2017-11-13,31.79
2017-11-14,31.65
2017-11-15,31.92
2017-11-16,33.03
2017-11-17,33.28
2017-11-20,33.64
2017-11-21,33.89
2017-11-22,34.05
2017-11-24,34.01
2017-11-27,32.99
2017-11-28,33.75
2017-11-29,32.71
2017-11-30,32.55
2017-12-01,33.02
2017-12-04,33.09
2017-12-05,33.03
2017-12-06,33.08
2017-12-07,33.41
2017-12-08,34.18
2017-12-11,34.17
2017-12-12,35.56
2017-12-13,35.52
2017-12-14,35.41
2017-12-15,35.47
2017-12-18,36.29
2017-12-19,36.14
2017-12-20,35.58
2017-12-21,35.95
2017-12-22,36.13
2017-12-26,36.10
2017-12-27,36.08
2017-12-28,36.00
2017-12-29,35.85
2018-01-02,36.78
2018-01-03,36.71
2018-01-04,36.53
2018-01-05,36.79
2018-01-08,39.41
2018-01-09,39.75
2018-01-10,40.33
2018-01-11,41.99
2018-01-12,43.92
2018-01-16,44.13
2018-01-17,44.67
2018-01-18,44.56
2018-01-19,45.08
2018-01-22,45.55
2018-01-23,46.32
2018-01-24,45.38
2018-01-25,45.55
2018-01-26,47.07
2018-01-29,47.22
2018-01-30,47.11
2018-01-31,47.29
2018-02-01,46.64
2018-02-02,44.36
2018-02-05,42.54
2018-02-06,41.71
2018-02-07,42.45
2018-02-08,40.65
2018-02-09,40.97
2018-02-12,42.13
2018-02-13,42.52
2018-02-14,44.01
2018-02-15,44.14
2018-02-16,44.06
2018-02-20,44.66
2018-02-21,44.07
2018-02-22,44.00
2018-02-23,45.66
2018-02-26,45.88
2018-02-27,45.30
2018-02-28,45.75
2018-03-01,46.27
2018-03-02,46.37
2018-03-05,47.24
2018-03-06,48.18
2018-03-07,48.24
2018-03-08,50.45
2018-03-09,51.57
2018-03-12,51.59
2018-03-13,51.13
2018-03-14,51.35
2018-03-15,51.04
2018-03-16,51.48
2018-03-19,51.75
2018-03-20,51.87
2018-03-21,51.86
2018-03-22,51.12
2018-03-23,48.73
2018-03-26,50.33
2018-03-27,49.67
2018-03-28,49.26
2018-03-29,50.67
2018-04-02,50.00
2018-04-03,50.48
2018-04-04,51.02
2018-04-05,50.43
2018-04-06,49.02
2018-04-09,48.74
2018-04-10,51.39
2018-04-11,50.70
2018-04-12,51.84
2018-04-13,52.48
2018-04-16,52.94
2018-04-17,53.58
2018-04-18,53.78
2018-04-19,51.86
2018-04-20,51.64
2018-04-23,50.41
2018-04-24,50.45
2018-04-25,50.48
2018-04-26,51.38
2018-04-27,51.53
2018-04-30,50.12
2018-05-01,46.94
2018-05-02,47.36
2018-05-03,47.59
2018-05-04,48.21
2018-05-07,48.44
2018-05-08,48.91
2018-05-09,49.55
2018-05-10,49.58
2018-05-11,49.10
2018-05-14,49.41
2018-05-15,50.02
2018-05-16,51.40
2018-05-17,51.10
2018-05-18,48.75
2018-05-21,49.57
2018-05-22,50.23
2018-05-23,50.46
2018-05-24,50.46
2018-05-25,49.76
2018-05-29,49.57
2018-05-30,50.24
2018-05-31,48.79
2018-06-01,50.13
2018-06-04,49.76
2018-06-05,51.24
2018-06-06,50.80
2018-06-07,47.82
2018-06-08,48.47
2018-06-11,50.16
2018-06-12,49.44
2018-06-13,49.31
2018-06-14,51.15
2018-06-15,50.59
2018-06-18,51.07
2018-06-19,50.72
2018-06-20,50.83
2018-06-21,51.14
2018-06-22,50.95
2018-06-25,48.86
2018-06-26,49.46
2018-06-27,48.74
2018-06-28,49.32
2018-06-29,49.42
2018-07-02,50.42
2018-07-03,49.80
2018-07-05,51.29
2018-07-06,51.28
2018-07-09,51.42
2018-07-10,51.54
2018-07-11,50.09
2018-07-12,51.65
2018-07-13,51.65
2018-07-16,51.15
2018-07-17,50.85
2018-07-18,50.85
2018-07-19,50.04
2018-07-20,49.43
2018-07-23,49.31
2018-07-24,48.76
2018-07-25,49.39
2018-07-26,50.36
2018-07-27,47.86
2018-07-30,47.26
2018-07-31,46.05
2018-08-01,46.44
2018-08-02,46.75
2018-08-03,47.15
2018-08-06,47.46
2018-08-07,48.02
2018-08-08,48.17
2018-08-09,44.65
2018-08-10,44.53
2018-08-13,44.64
2018-08-14,46.58
2018-08-15,46.29
2018-08-16,46.43
2018-08-17,47.49
2018-08-20,47.73
2018-08-21,47.97
2018-08-22,48.41
2018-08-23,48.76
2018-08-24,48.79
2018-08-27,49.32
2018-08-28,49.41
2018-08-29,48.99
2018-08-30,46.51
2018-08-31,46.86
2018-09-04,43.24
2018-09-05,43.21
2018-09-06,43.22
2018-09-07,43.58
2018-09-10,44.01
2018-09-11,42.87
2018-09-12,43.29
2018-09-13,42.19
2018-09-14,42.26
2018-09-17,41.95
2018-09-18,42.55
2018-09-19,42.65
2018-09-20,43.47
2018-09-21,43.70
2018-09-24,43.59
2018-09-25,43.00
2018-09-26,41.74
2018-09-27,41.30
2018-09-28,41.99
2018-10-01,41.66
2018-10-02,41.62
2018-10-03,42.38
2018-10-04,41.37
2018-10-05,41.51
2018-10-08,40.65
2018-10-09,39.02
2018-10-10,38.72
2018-10-11,38.43
2018-10-12,38.12
2018-10-15,37.92
2018-10-16,39.12
2018-10-17,39.13
2018-10-18,38.81
2018-10-19,38.85
2018-10-22,38.66
2018-10-23,38.55
2018-10-24,36.96
2018-10-25,37.79
2018-10-26,34.41
2018-10-29,33.55
2018-10-30,34.45
2018-10-31,35.68
2018-11-01,38.12
2018-11-02,39.26
2018-11-05,39.86
2018-11-06,40.28
2018-11-07,40.62
2018-11-08,40.20
2018-11-09,38.16
2018-11-12,37.15
2018-11-13,37.73
2018-11-14,37.88
2018-11-15,38.90
2018-11-16,38.40
2018-11-19,37.30
2018-11-20,37.36
2018-11-21,37.72
2018-11-23,38.09
2018-11-26,38.95
2018-11-27,39.10
2018-11-28,39.11
2018-11-29,37.82
2018-11-30,38.21
2018-12-03,39.69
2018-12-04,36.86
2018-12-06,36.94
2018-12-07,35.38
2018-12-10,35.30
2018-12-11,35.03
2018-12-12,35.47
2018-12-13,34.94
2018-12-14,34.19
2018-12-17,33.19
2018-12-18,33.67
2018-12-19,32.63
2018-12-20,32.99
2018-12-21,32.80
2018-12-24,32.59
2018-12-26,34.19
2018-12-27,34.67
2018-12-28,34.59
2018-12-31,34.81
2019-01-02,35.25
2019-01-03,32.94
2019-01-04,34.40
2019-01-07,35.32
2019-01-08,35.30
2019-01-09,36.21
2019-01-10,36.62
2019-01-11,36.68
2019-01-14,36.19
2019-01-15,35.76
2019-01-16,35.83
2019-01-17,34.93
2019-01-18,36.29
2019-01-22,34.71
2019-01-23,34.96
2019-01-24,36.95
2019-01-25,39.38
2019-01-28,39.02
2019-01-29,38.58
2019-01-30,39.45
2019-01-31,39.94
2019-02-01,40.82
2019-02-04,41.09
2019-02-05,40.72
2019-02-06,40.80
2019-02-07,40.10
2019-02-08,40.61
2019-02-11,40.27
2019-02-12,40.94
2019-02-13,41.26
2019-02-14,41.28
2019-02-15,41.23
2019-02-19,41.39
2019-02-20,41.39
2019-02-21,40.69
2019-02-22,42.40
2019-02-25,43.34
2019-02-26,42.83
2019-02-27,42.23
2019-02-28,42.00
2019-03-01,41.81
2019-03-04,41.87
2019-03-05,41.75
2019-03-06,41.73
2019-03-07,40.76
2019-03-08,41.69
2019-03-11,43.86
2019-03-12,43.37
2019-03-13,43.01
2019-03-14,42.56
2019-03-15,43.01
2019-03-18,43.44
2019-03-19,43.19
2019-03-20,42.23
2019-03-21,44.77
2019-03-22,42.89
2019-03-25,42.80
2019-03-26,43.15
2019-03-27,41.88
2019-03-28,42.03
2019-03-29,43.77
2019-04-01,44.26
2019-04-02,44.56
2019-04-03,45.33
2019-04-04,44.98
2019-04-05,44.99
2019-04-08,45.12
2019-04-09,44.70
2019-04-10,45.43
2019-04-11,45.21
2019-04-12,45.40
2019-04-15,45.14
2019-04-16,46.28
2019-04-17,45.96
2019-04-18,46.15
2019-04-22,44.73
2019-04-23,44.07
2019-04-24,42.95
2019-04-25,42.11
2019-04-26,41.12
2019-04-29,41.07
2019-04-30,44.16
2019-05-01,44.15
2019-05-02,44.23
2019-05-03,45.33
2019-05-06,45.12
2019-05-07,44.38
2019-05-08,44.82
2019-05-09,43.48
2019-05-10,43.32
2019-05-13,40.25
2019-05-14,40.80
2019-05-15,41.67
2019-05-16,41.75
2019-05-17,41.33
2019-05-20,40.87
2019-05-21,42.19
2019-05-22,40.86
2019-05-23,39.98
2019-05-24,39.47
2019-05-28,38.96
2019-05-29,39.97
2019-05-30,40.14
2019-05-31,38.25
2019-06-03,38.86
2019-06-04,40.36
2019-06-05,40.26
2019-06-06,40.58
2019-06-07,39.81
2019-06-10,40.17
2019-06-11,40.02
2019-06-12,39.88
2019-06-13,40.73
2019-06-14,40.45
2019-06-17,40.54
2019-06-18,42.21
2019-06-19,42.13
2019-06-20,42.82
2019-06-21,43.07
2019-06-24,43.87
2019-06-25,42.84
2019-06-26,43.81
2019-06-27,43.31
2019-06-28,43.69
2019-07-01,44.05
2019-07-02,43.95
2019-07-03,44.07
2019-07-05,43.81
2019-07-08,43.19
2019-07-09,42.68
2019-07-10,43.80
2019-07-11,43.26
2019-07-12,44.15
2019-07-15,44.82
2019-07-16,43.91
2019-07-17,43.57
2019-07-18,43.92
2019-07-19,43.85
2019-07-22,43.92
2019-07-23,44.25
2019-07-24,45.36
2019-07-25,44.58
2019-07-26,44.33
2019-07-29,44.02
2019-07-30,43.98
2019-07-31,42.93
2019-08-01,42.89
2019-08-02,41.66
2019-08-05,41.20
2019-08-06,41.42
2019-08-07,41.33
2019-08-08,41.85
2019-08-09,41.61
2019-08-12,41.55
2019-08-13,42.49
2019-08-14,41.38
2019-08-15,41.33
2019-08-16,42.68
2019-08-19,43.05
2019-08-20,42.99
2019-08-21,43.80
2019-08-22,44.11
2019-08-23,43.50
2019-08-26,43.64
2019-08-27,43.52
2019-08-28,43.71
2019-08-29,45.35
2019-08-30,46.55
2019-09-03,46.04
2019-09-04,48.37
2019-09-05,50.16
2019-09-06,50.37
2019-09-09,50.79
2019-09-10,51.30
2019-09-11,52.11
2019-09-12,52.20
2019-09-13,52.06
2019-09-16,51.64
2019-09-17,51.96
2019-09-18,52.61
2019-09-19,49.08
2019-09-20,48.58
2019-09-23,48.91
2019-09-24,48.66
2019-09-25,49.81
2019-09-26,50.35
2019-09-27,50.49
2019-09-30,50.47
2019-10-01,49.60
2019-10-02,49.03
2019-10-03,49.82
2019-10-04,50.37
2019-10-07,50.31
2019-10-08,48.05
2019-10-09,48.95
2019-10-10,49.64
2019-10-11,50.49
2019-10-14,50.56
2019-10-15,51.55
2019-10-16,51.51
2019-10-17,51.78
2019-10-18,51.59
2019-10-21,52.06
2019-10-22,52.41
2019-10-23,52.64
2019-10-24,52.77
2019-10-25,53.41
2019-10-28,54.19
2019-10-29,54.39
2019-10-30,54.28
2019-10-31,54.45
2019-11-01,54.07
2019-11-04,54.50
2019-11-05,54.11
2019-11-06,54.27
2019-11-07,54.54
2019-11-08,55.16
2019-11-11,54.66
2019-11-12,54.39
2019-11-13,54.54
2019-11-14,54.62
2019-11-15,55.44
2019-11-18,56.38
2019-11-19,55.97
2019-11-20,55.93
2019-11-21,55.81
2019-11-22,55.62
2019-11-25,56.16
2019-11-26,55.60
2019-11-27,56.52
2019-11-29,56.00
2019-12-02,55.67
2019-12-03,54.62
2019-12-04,55.02
2019-12-05,54.98
2019-12-06,55.35
2019-12-09,53.60
2019-12-10,54.07
2019-12-11,54.37
2019-12-12,55.41
2019-12-13,55.14
2019-12-16,55.42
2019-12-17,55.52
2019-12-18,55.17
2019-12-19,54.84
2019-12-20,55.94
2019-12-23,56.65
2019-12-24,56.43
2019-12-26,56.84
2019-12-27,56.51
2019-12-30,56.24
2019-12-31,56.44
2020-01-02,57.39
2020-01-03,55.88
2020-01-06,55.21
2020-01-07,55.88
2020-01-08,56.31
2020-01-09,57.35
2020-01-10,56.89
2020-01-13,57.85
2020-01-14,57.65
2020-01-15,57.40
2020-01-16,58.36
2020-01-17,57.94
2020-01-21,57.91
2020-01-22,58.12
2020-01-23,59.53
2020-01-24,59.98
2020-01-27,57.55
2020-01-28,58.78
2020-01-29,55.97
2020-01-30,55.38
2020-01-31,54.06
2020-02-03,54.97
2020-02-04,55.93
2020-02-05,51.91
2020-02-06,52.32
2020-02-07,51.32
2020-02-10,52.11
2020-02-11,52.88
2020-02-12,53.33
2020-02-13,52.93
2020-02-14,51.21
2020-02-18,51.41
2020-02-19,51.17
2020-02-20,51.93
2020-02-21,51.26
2020-02-24,49.36
2020-02-25,47.83
2020-02-26,48.45
2020-02-27,45.87
2020-02-28,45.48
2020-03-02,47.78
2020-03-03,47.63
2020-03-04,48.79
2020-03-05,47.68
2020-03-06,46.72
2020-03-09,42.98
2020-03-10,45.43
2020-03-11,43.00
2020-03-12,42.26
2020-03-13,46.41
2020-03-16,38.86
2020-03-17,42.83
2020-03-18,40.78
2020-03-19,40.46
2020-03-20,38.63
2020-03-23,38.68
2020-03-24,41.89
2020-03-25,42.91
2020-03-26,46.24
2020-03-27,46.24
2020-03-30,48.07
2020-03-31,47.04
2020-04-01,46.13
2020-04-02,45.86
2020-04-03,44.11
2020-04-06,46.88
2020-04-07,47.30
2020-04-08,49.19
2020-04-09,49.40
2020-04-13,49.07
2020-04-14,49.57
2020-04-15,48.42
2020-04-16,48.80
2020-04-17,49.61
2020-04-20,48.99
2020-04-21,47.94
2020-04-22,48.91
2020-04-23,46.16
2020-04-24,46.87
2020-04-27,47.26
2020-04-28,47.22
2020-04-29,49.22
2020-04-30,48.15
2020-05-01,45.99
2020-05-04,44.76
2020-05-05,45.06
2020-05-06,45.80
2020-05-07,46.96
2020-05-08,49.22
2020-05-11,48.06
2020-05-12,46.86
2020-05-13,45.72
2020-05-14,46.33
2020-05-15,46.05
2020-05-18,47.60
2020-05-19,48.36
2020-05-20,49.98
2020-05-21,49.41
2020-05-22,49.12
2020-05-26,49.35
2020-05-27,50.13
2020-05-28,49.51
2020-05-29,51.13
2020-06-01,50.27
2020-06-02,50.79
2020-06-03,51.20
2020-06-04,52.10
2020-06-05,52.43
2020-06-08,53.62
2020-06-09,52.85
2020-06-10,53.33
2020-06-11,49.41
2020-06-12,48.78
2020-06-15,48.91
2020-06-16,49.81
2020-06-17,49.18
2020-06-18,47.85
2020-06-19,50.17
2020-06-22,49.07
2020-06-23,47.71
2020-06-24,46.49
2020-06-25,46.60
2020-06-26,45.86
2020-06-29,46.63
2020-06-30,47.27
2020-07-01,46.18
2020-07-02,46.22
2020-07-06,46.89
2020-07-07,46.00
2020-07-08,45.46
2020-07-09,45.67
2020-07-10,46.26
2020-07-13,46.21
2020-07-14,46.26
2020-07-15,47.10
2020-07-16,47.35
2020-07-17,47.13
2020-07-20,47.44
2020-07-21,48.25
2020-07-22,48.30
2020-07-23,48.82
2020-07-24,46.90
2020-07-27,48.41
2020-07-28,47.42
2020-07-29,43.26
2020-07-30,43.35
2020-07-31,44.15
2020-08-03,43.70
2020-08-04,44.32
2020-08-05,44.06
2020-08-06,43.90
2020-08-07,44.24
2020-08-10,44.98
2020-08-11,44.70
2020-08-12,44.56
2020-08-13,43.84
2020-08-14,44.00
2020-08-17,43.84
2020-08-18,43.99
2020-08-19,44.33
2020-08-20,43.98
2020-08-21,43.78
2020-08-24,44.53
2020-08-25,44.37
2020-08-26,44.65
2020-08-27,44.47
2020-08-28,45.50
2020-08-31,46.86
2020-09-01,45.96
2020-09-02,47.44
2020-09-03,45.98
2020-09-04,45.90
2020-09-08,44.61
2020-09-09,45.14
2020-09-10,44.84
2020-09-11,45.44
2020-09-14,46.52
2020-09-15,46.22
2020-09-16,47.52
2020-09-17,47.98
2020-09-18,47.67
2020-09-21,47.09
2020-09-22,47.22
2020-09-23,47.13
2020-09-24,46.93
2020-09-25,47.72
2020-09-28,49.15
2020-09-29,49.55
2020-09-30,48.76
2020-10-01,48.55
2020-10-02,48.24
2020-10-05,48.60
2020-10-06,49.09
2020-10-07,49.93
2020-10-08,50.80
2020-10-09,50.45
2020-10-12,50.76
2020-10-13,50.65
2020-10-14,50.51
2020-10-15,50.82
2020-10-16,50.91
2020-10-19,51.61
2020-10-20,51.36
2020-10-21,51.16
2020-10-22,51.26
2020-10-23,50.22
2020-10-26,48.46
2020-10-27,48.06
2020-10-28,47.25
2020-10-29,47.17
2020-10-30,47.33
2020-11-02,48.07
2020-11-03,49.83
2020-11-04,49.95
2020-11-05,52.21
2020-11-06,52.94
2020-11-09,53.59
2020-11-10,54.16
2020-11-11,54.07
2020-11-12,52.64
2020-11-13,54.15
2020-11-16,55.36
2020-11-17,54.94
2020-11-18,54.67
2020-11-19,55.34
2020-11-20,55.04
2020-11-23,56.33
2020-11-24,57.95
2020-11-25,57.74
2020-11-27,57.88
2020-11-30,58.20
2020-12-01,59.67
2020-12-02,60.57
2020-12-03,61.70
2020-12-04,63.41
2020-12-07,62.57
2020-12-08,63.20
2020-12-09,62.88
2020-12-10,64.15
2020-12-11,64.09
2020-12-14,63.97
2020-12-15,65.30
2020-12-16,65.63
2020-12-17,65.53
2020-12-18,64.05
2020-12-21,64.38
2020-12-22,63.71
2020-12-23,63.03
2020-12-24,62.95
2020-12-28,62.52
2020-12-29,60.76
2020-12-30,60.60
2020-12-31,62.16
2021-01-04,60.08
2021-01-05,60.16
2021-01-06,59.87
2021-01-07,60.11
2021-01-08,59.00
2021-01-11,58.72
2021-01-12,59.03
2021-01-13,59.89
2021-01-14,59.96
2021-01-15,60.51
2021-01-19,61.22
2021-01-20,61.42
2021-01-21,62.94
2021-01-22,60.00
2021-01-25,61.19
2021-01-26,64.86
2021-01-27,71.72
2021-01-28,66.65
2021-01-29,66.12
2021-02-01,66.74
2021-02-02,66.78
2021-02-03,67.46
2021-02-04,67.72
2021-02-05,69.44
2021-02-08,71.41
2021-02-09,72.36
2021-02-10,70.99
2021-02-11,72.46
2021-02-12,72.21
2021-02-16,71.00
2021-02-17,71.41
2021-02-18,72.47
2021-02-19,73.14
2021-02-22,73.48
2021-02-23,72.21
2021-02-24,74.34
2021-02-25,72.85
2021-02-26,73.23
